Unnamed: 0,Unnamed: 0.1,Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,Income,Education_Score,Age,First_Interaction,City_Type,Employer_Category,Job_Type,Event1_or_2,online_score,y
54,54,504692,0,0,0,0,1,1,1,04-Jul-03,1352,Technology,5.0,1,0,1
55,55,518855,0,1,0,0,2,1,1,04-Jul-03,816,Education,3.0,1,1,1
56,56,509843,0,0,0,0,0,0,0,23-Jul-03,2662,,9999.0,0,0,0
57,57,495620,0,1,1,1,3,0,1,04-Jul-03,1729,Consulting,6.0,1,3,1
58,58,504073,0,0,0,0,0,0,0,06-Jul-03,1704,,9999.0,0,0,0
59,59,514992,0,0,0,0,3,0,1,24-Jul-03,2662,Manufacturing,7.0,1,0,1
60,60,517686,0,1,0,0,2,0,1,26-Jun-03,1352,Consulting,6.0,1,1,1
61,61,510500,0,0,0,0,0,0,1,04-Apr-03,1352,Software Industry,1.0,1,0,1
62,62,491040,0,0,0,0,0,0,0,06-Jul-03,2662,,9999.0,0,0,0
63,63,487329,0,0,0,0,0,0,0,24-Jul-03,1352,,9999.0,0,0,0
64,64,510566,0,0,0,0,1,1,1,06-Jul-03,1216,,9999.0,1,0,1
65,65,499844,0,0,0,0,0,0,0,25-Jul-03,23384,,9999.0,0,0,0
66,66,491347,0,0,0,0,0,0,0,23-Jul-03,2662,,9999.0,0,0,0
67,67,486243,0,0,0,0,0,0,1,23-Jul-03,2662,,9999.0,1,0,1
68,68,513947,0,0,0,0,0,0,0,23-Jul-03,23384,,9999.0,0,0,0
69,69,496001,0,0,0,0,0,0,1,25-Jul-03,1352,Technology,5.0,0,0,0
70,70,517141,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,1,0,1
71,71,523430,0,0,0,0,0,0,0,06-Apr-03,2662,,9999.0,0,0,0
72,72,492822,0,0,0,0,0,0,0,26-Jul-03,1352,,9999.0,0,0,0
73,73,511862,0,0,0,0,0,0,1,04-Jul-03,1704,Others,4.0,1,0,1
74,74,498743,1,1,1,1,1,0,1,26-Apr-03,1036,Technology,5.0,1,4,1
75,75,498848,0,0,0,0,2,0,1,02-Jul-03,2662,Software Industry,1.0,1,0,1
76,76,493167,0,0,0,0,0,0,0,29-Nov-02,23384,,9999.0,1,0,1
77,77,495152,0,0,0,0,3,0,1,06-Mar-03,23384,Consulting,6.0,1,0,1
78,78,517340,0,0,0,0,0,0,1,08-Feb-03,2517,,9999.0,1,0,1
79,79,520068,0,0,0,0,0,0,0,06-Aug-03,1729,,9999.0,1,0,1
80,80,490642,0,0,0,0,0,0,0,06-Aug-03,23384,,9999.0,0,0,0
81,81,501325,0,0,0,0,0,0,0,06-Aug-03,2517,,9999.0,0,0,0
82,82,526981,0,0,0,0,0,0,0,06-Aug-03,23384,,9999.0,0,0,0
83,83,527513,0,0,0,0,1,0,1,06-Aug-03,23384,Consulting,6.0,0,0,0
84,84,506014,0,0,0,0,0,0,0,07-Feb-03,1352,,9999.0,1,0,1
85,85,523306,0,0,0,0,0,0,0,05-Aug-03,23384,,9999.0,0,0,0
86,86,509795,0,0,0,0,0,0,0,02-Jan-03,23384,,9999.0,0,0,0
87,87,507389,0,0,0,0,0,0,0,05-Aug-03,23384,,9999.0,0,0,0
88,88,519161,0,1,0,1,2,1,1,05-Aug-03,1352,Consulting,6.0,1,2,1
89,89,499647,0,0,0,0,0,0,0,05-Aug-03,23384,,9999.0,0,0,0
90,90,487975,0,0,0,0,0,0,1,04-Aug-03,1704,Education,3.0,0,0,0
91,91,505750,0,0,0,0,0,0,0,31-Jul-03,23384,,9999.0,0,0,0
92,92,493295,0,0,0,0,0,0,0,08-Feb-03,1216,,9999.0,0,0,0
93,93,517303,0,0,0,0,0,0,0,04-Aug-03,1352,,9999.0,1,0,1
94,94,489941,0,0,0,0,0,0,0,06-Mar-03,1729,,9999.0,0,0,0
95,95,520198,1,1,0,0,3,1,1,04-Aug-03,2662,Consulting,6.0,1,2,1
96,96,505850,0,0,0,0,0,0,0,03-Aug-03,1704,,9999.0,1,0,1
97,97,503338,0,0,0,0,0,0,0,20-Jun-03,23384,,9999.0,0,0,0
98,98,492367,0,0,0,0,0,0,0,08-Feb-03,1729,,9999.0,0,0,0
99,99,502240,0,0,0,0,2,0,1,02-Aug-03,1352,Health,8.0,1,0,1
100,100,486721,0,0,0,0,1,1,1,02-Aug-03,1704,Technology,5.0,0,0,0
101,101,521547,0,0,0,0,0,0,0,02-Aug-03,23384,,9999.0,1,0,1
102,102,487331,0,0,0,0,0,0,0,02-Aug-03,23384,,9999.0,0,0,0
103,103,493758,0,0,0,0,0,0,0,02-Aug-03,2662,,9999.0,0,0,0
104,104,526703,0,1,1,0,2,1,1,01-Aug-03,1352,Health,8.0,1,2,1
105,105,506106,0,0,0,0,0,0,0,01-Aug-03,23384,,9999.0,0,0,0
106,106,522819,0,0,0,0,0,0,1,01-Aug-03,2662,,9999.0,0,0,0
107,107,488417,0,0,0,0,0,0,1,02-Jul-03,1729,,9999.0,0,0,0
108,108,507610,0,0,0,0,0,0,0,01-Aug-03,23384,,9999.0,0,0,0
109,109,523901,0,0,0,0,0,0,0,01-Aug-03,23384,,9999.0,0,0,0
110,110,495956,0,0,0,0,0,0,0,01-Aug-03,23384,,9999.0,0,0,0
111,111,520690,0,0,0,0,0,0,0,31-Jul-03,23384,,9999.0,0,0,0
112,112,521217,0,0,0,0,0,0,0,31-Jul-03,2662,,9999.0,1,0,1
113,113,488877,0,0,0,0,0,0,0,31-Jul-03,1729,,9999.0,1,0,1
114,114,522926,0,0,0,0,0,0,1,31-Jul-03,23384,,9999.0,0,0,0
115,115,498186,0,0,0,0,0,0,0,31-Jul-03,23384,,9999.0,1,0,1
116,116,526474,0,0,0,0,0,0,0,27-Jun-03,23384,,9999.0,0,0,0
117,117,522317,0,0,0,0,0,0,0,24-May-03,23384,,9999.0,0,0,0
118,118,490389,0,0,0,0,0,0,0,21-Jul-03,1352,,9999.0,0,0,0
119,119,505162,0,0,0,0,0,0,0,29-Jul-03,23384,,9999.0,1,0,1
120,120,516545,0,0,0,0,0,0,0,26-Jul-03,1352,,9999.0,0,0,0
121,121,494593,0,1,0,1,1,0,1,28-Jul-03,1217,Software Industry,1.0,0,2,0
122,122,498728,0,0,0,0,0,0,0,26-Jul-03,2517,,9999.0,0,0,0
123,123,488150,0,0,0,0,0,0,1,26-Jul-03,2662,,9999.0,1,0,1
124,124,522323,0,0,0,0,2,0,1,25-Jul-03,1352,Technology,5.0,0,0,0
125,125,496069,0,0,0,0,0,0,0,25-Jul-03,23384,,9999.0,0,0,0
126,126,516002,0,0,0,0,0,0,0,06-Mar-03,1217,,9999.0,0,0,0
127,127,504363,0,0,0,0,0,0,0,25-Jul-03,23384,,9999.0,0,0,0
128,128,509916,0,1,0,0,0,0,1,25-Jul-03,2517,Consulting,6.0,1,1,1
129,129,523681,0,0,0,0,0,0,0,24-Jul-03,23384,,9999.0,0,0,0
130,130,489161,0,0,0,0,2,0,1,24-Jul-03,2662,Technology,5.0,0,0,0
131,131,496456,0,0,0,0,0,0,0,23-Jul-03,23384,,9999.0,0,0,0
132,132,517197,0,0,0,0,0,0,0,22-Jul-03,1036,,9999.0,0,0,0
133,133,507855,0,0,0,0,0,0,0,22-Jul-03,23384,,9999.0,1,0,1
134,134,503956,0,0,0,1,0,0,1,21-Jul-03,2517,,9999.0,1,1,1
135,135,501070,0,0,0,0,0,0,0,20-Jul-03,23384,,9999.0,0,0,0
136,136,495765,0,0,0,0,0,0,0,17-Jul-03,1352,,9999.0,0,0,0
137,137,504833,0,0,0,0,0,0,0,18-Jul-03,23384,,9999.0,0,0,0
138,138,518914,0,0,0,0,0,0,0,17-Jul-03,1217,,9999.0,1,0,1
139,139,528016,0,0,0,0,2,1,1,16-Jul-03,1704,Technology,5.0,1,0,1
140,140,509333,1,1,1,0,0,0,1,06-Jul-03,1704,Technology,5.0,1,3,1
141,141,499267,0,0,0,0,0,0,1,31-Jan-03,2662,,9999.0,1,0,1
142,142,493677,0,0,0,0,0,0,0,13-Jul-03,23384,,9999.0,0,0,0
143,143,520701,0,0,0,0,0,0,0,30-Apr-03,23384,,9999.0,0,0,0
144,144,498973,0,0,0,0,0,0,0,09-Jan-03,2517,,9999.0,1,0,1
145,145,503148,0,0,0,0,0,0,0,08-Feb-03,2517,,9999.0,1,0,1
146,146,509342,0,1,0,0,0,0,1,14-Jul-03,1729,,9999.0,0,1,0
147,147,496353,0,0,0,0,0,0,0,13-Jul-03,23384,,9999.0,0,0,0
148,148,493930,0,0,0,0,0,0,0,13-Jul-03,1352,,9999.0,0,0,0
149,149,513756,0,0,1,1,3,0,1,13-Jul-03,1352,Manufacturing,7.0,0,2,0
150,150,491202,0,0,0,0,0,0,1,12-Jul-03,2517,,9999.0,0,0,0
151,151,528205,0,0,0,0,2,1,1,12-Jul-03,1704,Software Industry,1.0,1,0,1
152,152,514503,0,0,0,0,0,0,1,12-Jul-03,1217,Technology,5.0,0,0,0
153,153,525693,0,0,0,0,3,1,1,03-Jul-03,1036,Technology,5.0,1,0,1
154,154,508709,0,0,0,0,3,0,1,11-Jul-03,23384,Consulting,6.0,0,0,0
155,155,491205,0,0,0,0,0,0,0,10-Jul-03,23384,,9999.0,1,0,1
156,156,517806,0,0,0,0,0,0,0,09-Jul-03,1704,,9999.0,1,0,1
157,157,494101,0,0,0,0,0,0,0,09-Jul-03,23384,,9999.0,0,0,0
158,158,521070,0,0,0,0,0,0,0,09-Jul-03,1217,,9999.0,0,0,0
159,159,496028,0,0,0,0,0,0,0,09-Jul-03,23384,,9999.0,0,0,0
160,160,499028,0,0,0,0,0,0,0,09-Jul-03,1216,,9999.0,1,0,1
161,161,524550,0,0,0,0,4,1,1,09-Jul-03,2662,Software Industry,1.0,1,0,1
162,162,490447,0,0,0,0,0,0,0,09-Jul-03,1216,,9999.0,1,0,1
163,163,506349,1,0,1,1,0,0,1,08-Jun-03,1704,Consulting,6.0,1,3,1
164,164,506088,0,0,0,0,0,0,0,09-Jul-03,23384,,9999.0,0,0,0
165,165,508646,0,0,0,0,0,0,0,09-Jul-03,2662,,9999.0,0,0,0
166,166,498537,0,0,0,0,0,0,0,08-Jul-03,23384,,9999.0,0,0,0
167,167,517183,0,1,0,1,2,0,1,08-Jul-03,1352,Software Industry,1.0,0,2,0
168,168,525069,0,0,0,0,0,0,0,26-Jun-03,23384,,9999.0,0,0,0
169,169,496599,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
170,170,498864,0,0,0,0,0,0,1,07-Jul-03,23384,,9999.0,1,0,1
171,171,500609,0,0,0,0,0,0,0,07-Jul-03,816,,9999.0,1,0,1
172,172,507772,0,0,0,0,0,0,0,07-Jul-03,1217,,9999.0,1,0,1
173,173,527017,1,1,0,0,2,0,1,06-Mar-03,2517,Consulting,6.0,1,2,1
174,174,495445,0,0,0,0,0,0,1,07-Jul-03,23384,Consulting,6.0,0,0,0
175,175,504261,0,0,0,0,2,0,1,07-Jul-03,2517,BFSI,2.0,1,0,1
176,176,510317,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
177,177,491167,0,0,0,0,0,0,1,07-Jul-03,23384,,9999.0,0,0,0
178,178,494064,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
179,179,509292,0,0,0,0,0,0,0,07-Jul-03,1352,,9999.0,1,0,1
180,180,506724,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
181,181,526725,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
182,182,514295,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
183,183,492303,1,1,0,1,0,0,1,07-Jul-03,2517,,9999.0,0,3,0
184,184,524768,0,1,0,1,0,0,1,08-Feb-03,1729,Consulting,6.0,1,2,1
185,185,527985,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
186,186,488872,0,0,0,0,0,0,0,08-Feb-03,2662,,9999.0,0,0,0
187,187,506255,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
188,188,521444,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,1,0,1
189,189,503827,1,0,0,0,3,1,1,07-Jul-03,2662,Others,4.0,1,1,1
190,190,507607,0,0,0,0,0,0,1,07-Jul-03,1216,,9999.0,1,0,1
191,191,507312,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
192,192,521364,0,0,0,1,1,1,1,04-Jul-03,1036,Technology,5.0,1,1,1
193,193,520058,0,0,0,0,0,0,0,06-Jul-03,1036,,9999.0,0,0,0
194,194,518144,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
195,195,518254,0,0,0,0,0,0,0,07-Jul-03,23384,,9999.0,0,0,0
196,196,510965,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
197,197,511492,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
198,198,491900,0,0,0,0,0,0,0,08-Feb-03,23384,,9999.0,1,0,1
199,199,520192,0,0,0,0,4,0,1,06-Jul-03,1216,Consulting,6.0,0,0,0
200,200,495734,0,0,0,0,0,0,0,03-Jun-03,23384,,9999.0,1,0,1
201,201,486953,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
202,202,501506,0,0,0,0,0,0,0,06-Jul-03,1729,,9999.0,0,0,0
203,203,504334,0,1,1,0,1,1,1,06-Jul-03,1216,Consulting,6.0,1,2,1
204,204,525473,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
205,205,512504,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
206,206,502391,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
207,207,498901,1,1,1,1,2,0,1,06-Jul-03,1704,Technology,5.0,0,4,0
208,208,502714,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
209,209,515641,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
210,210,506641,0,0,0,0,0,0,0,17-Mar-03,2662,,9999.0,1,0,1
211,211,508714,0,0,0,0,0,0,0,06-Jul-03,2517,,9999.0,1,0,1
212,212,486659,0,0,0,0,0,0,0,06-Jul-03,2662,,9999.0,1,0,1
213,213,524615,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
214,214,527275,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
215,215,512725,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
216,216,520731,0,0,0,0,0,0,0,06-Jul-03,2517,,9999.0,1,0,1
217,217,500595,0,0,0,0,0,0,1,06-Jul-03,1352,,9999.0,1,0,1
218,218,524702,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
219,219,507974,0,0,0,0,0,0,0,04-Jul-03,1036,,9999.0,0,0,0
220,220,511708,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
221,221,512225,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
222,222,507513,0,0,0,0,0,0,0,06-Jul-03,816,,9999.0,0,0,0
223,223,496756,0,0,0,0,0,0,0,06-Jul-03,1216,,9999.0,0,0,0
224,224,508524,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
225,225,485986,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,1,0,1
226,226,511426,0,0,0,0,0,0,0,06-Jul-03,2662,,9999.0,1,0,1
227,227,513486,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
228,228,491919,0,0,0,0,1,0,1,06-Jul-03,1704,Health,8.0,0,0,0
229,229,492725,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
230,230,490661,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
231,231,525188,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
232,232,509383,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
233,233,503149,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
234,234,509868,0,1,1,1,0,0,1,06-Jul-03,1352,Others,4.0,1,3,1
235,235,508339,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
236,236,490088,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
237,237,513698,0,0,0,0,0,0,0,06-Jul-03,2662,,9999.0,1,0,1
238,238,510214,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
239,239,492959,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
240,240,489949,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
241,241,527305,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,1,0,1
242,242,510666,0,0,0,0,1,1,1,04-Jul-03,2662,Software Industry,1.0,1,0,1
243,243,504037,0,0,0,0,0,0,0,08-Feb-03,23384,,9999.0,1,0,1
244,244,519665,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
245,245,511505,0,0,0,0,0,0,0,06-Jul-03,1217,,9999.0,1,0,1
246,246,522648,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
247,247,506594,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
248,248,503555,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
249,249,524007,0,0,0,0,3,1,1,06-Jul-03,2662,Software Industry,1.0,1,0,1
250,250,503599,0,0,0,0,0,0,0,06-Jul-03,1352,,9999.0,0,0,0
251,251,491173,0,0,0,0,0,0,0,06-Jul-03,23384,,9999.0,0,0,0
252,252,489679,0,0,0,0,0,0,0,06-Jul-03,1036,,9999.0,0,0,0
253,253,510677,0,0,0,0,0,0,0,05-Jul-03,23384,,9999.0,0,0,0
254,254,528166,0,0,0,1,1,1,1,06-Mar-03,2662,Technology,5.0,1,1,1
255,255,492285,1,1,0,0,0,0,1,05-Jul-03,2517,,9999.0,0,2,0
256,256,487296,0,0,0,0,0,0,0,05-Jul-03,23384,,9999.0,0,0,0
257,257,526883,0,0,0,0,0,0,0,05-Jul-03,23384,,9999.0,0,0,0
258,258,504121,0,0,0,0,0,0,0,05-Jul-03,1216,,9999.0,1,0,1
259,259,487282,0,0,0,0,0,0,0,05-Jul-03,1352,Technology,5.0,0,0,0
260,260,495471,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,1,0,1
261,261,498484,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
262,262,491977,0,0,0,0,0,0,0,04-Jul-03,2662,,9999.0,1,0,1
263,263,508359,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
264,264,526789,0,0,0,0,0,0,0,04-Jul-03,1216,,9999.0,1,0,1
265,265,524057,1,1,0,1,0,0,1,04-Jul-03,1217,Technology,5.0,1,3,1
266,266,495465,0,0,0,0,2,1,1,04-Jul-03,2662,Others,4.0,1,0,1
267,267,524965,0,1,0,1,1,1,1,04-Jul-03,1216,Others,4.0,1,2,1
268,268,514737,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
269,269,493149,0,0,0,0,4,0,1,04-Jul-03,2662,Consulting,6.0,1,0,1
270,270,497369,0,0,0,0,0,0,1,04-Jul-03,816,,9999.0,1,0,1
271,271,490400,0,0,0,0,0,0,0,01-Jul-03,23384,,9999.0,0,0,0
272,272,502372,0,0,0,0,2,1,1,04-Jul-03,1352,Others,4.0,1,0,1
273,273,517029,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
274,274,486306,0,0,0,0,4,1,1,08-Feb-03,1036,Consulting,6.0,1,0,1
275,275,516264,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
276,276,508475,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
277,277,502823,0,0,0,0,0,0,0,08-Feb-03,23384,,9999.0,1,0,1
278,278,509776,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
279,279,502652,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
280,280,503959,0,0,0,0,0,0,1,04-Jul-03,23384,Others,4.0,1,0,1
281,281,492027,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
282,282,524094,0,0,0,0,0,0,1,04-Jul-03,23384,,9999.0,0,0,0
283,283,510668,0,0,0,0,0,0,1,04-Jul-03,1704,,9999.0,0,0,0
284,284,498267,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
285,285,496722,0,1,0,0,1,0,1,21-Jun-03,2517,Technology,5.0,1,1,1
286,286,513151,0,0,0,0,0,0,0,04-Jul-03,1352,,9999.0,1,0,1
287,287,520196,0,0,0,0,0,1,1,04-Jul-03,1217,Software Industry,1.0,1,0,1
288,288,503035,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
289,289,515349,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
290,290,493547,0,0,0,0,2,0,1,04-Jul-03,2517,Manufacturing,7.0,1,0,1
291,291,525462,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,1,0,1
292,292,507859,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
293,293,525036,0,0,0,0,0,0,0,04-Jul-03,1704,,9999.0,0,0,0
294,294,505145,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
295,295,519193,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
296,296,520400,0,1,0,0,1,0,0,04-Jul-03,1704,Consulting,6.0,1,1,1
297,297,493026,0,0,0,0,0,0,0,04-Jul-03,2662,,9999.0,0,0,0
298,298,519305,0,0,0,0,0,0,0,04-Jul-03,1217,,9999.0,0,0,0
299,299,513640,0,1,0,0,3,0,1,04-Jul-03,23384,,9999.0,0,1,0
300,300,527461,0,0,0,0,0,0,0,04-Jul-03,1036,,9999.0,0,0,0
301,301,502021,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
302,302,491905,1,0,0,0,0,0,1,04-Jul-03,2517,,9999.0,1,1,1
303,303,493299,0,0,0,0,0,0,0,04-Jul-03,23384,,9999.0,0,0,0
304,304,521330,0,0,0,0,0,0,0,08-Feb-03,23384,,9999.0,0,0,0
305,305,508753,0,0,0,0,0,0,0,04-Jul-03,2662,,9999.0,1,0,1
306,306,486932,1,0,1,0,6,1,1,04-Jul-03,1216,Technology,5.0,1,2,1
307,307,519946,1,1,1,1,0,0,1,03-Jul-03,2517,,9999.0,1,4,1
